registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,microchip name,first usage countries,first usage date,right holder on first usage date,expiration date,registration publish date,registration publish number,actual,publication URL
2009630034,20090907,2009630025,20090713,"Баринов Илья Николаевич (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-26,,,,,20091220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630034
2009630035,20090907,2009630026,20090713,"Баринов Илья Николаевич (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-25,,,,,20091220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630035
2009630040,20091109,2009630033,20090915,"Баринов Илья Николаевич (RU)
Федулов Александр Владиславович (RU)
Мишанин Александр Евгеньевич (RU)",3,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-28,,,,,20100120,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630040
2009630041,20091118,2009630037,20091105,Бобриков Сергей Александрович (RU),1,Общество с ограниченной ответственностью «Альтернатива Капитал» (RU),,СФ-блок синхронной статической однопортовой памяти,,,,,20100320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630041
2009630042,20091123,2009630031,20090930,"Белозубов Евгений Михайлович (RU)
Козлова Юлия Александровна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензочувствительный преобразователь давления-1,,,,,20100320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630042
2010630002,20100114,2009630041,20091123,"Коновалов Сергей Евгеньевич (RU)
Васянькин Александр Алексеевич (RU)
Киселев Николай Николаевич (RU)
Потапов Андрей Леонидович (RU)",4,Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU),,Базовый матричный кристалл 5511БЦ2Т,,,,,20100620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630002
2010630072,20100629,2010630038,20100429,"Белозубов Евгений Михайлович (RU)
Козлова Юлия Александровна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления сред с нестационарными температурами 2Н,,,,,20100920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630072
2010630077,20100721,2010630043,20100527,Долотов Павел Сергеевич (RU),1,Федеральное государственное учреждение «Федеральный научный центр Научно-исследовательский институт системных исследований Российской академии наук» (ФГУ ФНЦ НИИСИ РАН) (RU),,Ячейка памяти с активными RC-цепочками,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630077
2010630078,20100721,2010630044,20100528,"Завьялов Максим Николаевич (RU)
Пауткин Валерий Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тензорезистивный преобразователь давления,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630078
2010630079,20100721,2010630045,20100528,Баринов Илья Николаевич (RU),1,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-31,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630079
2010630081,20100721,2010630047,20100528,"Белозубов Евгений Михайлович (RU)
Козлова Наталья Анатольевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления сред с нестационарными температурами 3H,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630081
2010630082,20100721,2010630048,20100528,Баринов Илья Николаевич (RU),1,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-30,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630082
2010630088,20100827,2010630053,20100629,"Ящинин Алексей Сергеевич (RU)
Фролов Вадим Александрович (RU)
Свищева Юлия Андреевна (RU)",3,Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU),,Аналого-цифровой преобразователь НПВ1501У,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630088
